Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277315;159323;;1989-01-21;15/1990;1990-07-23;12/1992;1992-12-31;Przyrząd do mocowania elementów płaskich, zwłaszcza noży kombajnów węglowych, poddawanych obróbce;TURSKI LESZEK;TURSKI LESZEK;;B23B29/00 B25B1/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277316;;;1989-01-21;23/1989;1989-11-13;;;Obudowa w kształcie szafy do aparatury elektrycznej;ZAKŁADY URZĄDZEŃ OKRĘTOWYCH "FAMOR";OMNIECZYŃSKI JAN GROCHOLEWSKI RYSZARD NAJDZICZ HENRYK;;;Decyzja o umorzeniu postępowania;
277317;158313;;1989-01-21;15/1990;1990-07-23;08/1992;1992-08-31;Łóżko szpitalne, zwłaszcza ortopedyczno-urazowe;ŻYWIECKA FABRYKA SPRZĘTU SZPITALNEGO;PIECHOTA EUGENIUSZ PAWLUS WŁADYSŁAW PAWEŁEK TADEUSZ;;A61G7/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277318;;;1989-01-23;08/1991;1991-04-22;;;Zestawiany tor symulowanych wyścigów pojazdów oraz sposób symulowanego odtwarzania rzeczywistych warunków jazdy;WARDĘCKI ANDRZEJ;WARDĘCKI ANDRZEJ;;;Konwersja zgłoszenia wynalazku na zgłoszenie wzoru użytkowego;
277319;;;1989-01-23;23/1989;1989-11-13;;;Układ lampy owadobójczej;KUĆ SŁAWOMIR;KUĆ SŁAWOMIR;;;Decyzja o umorzeniu postępowania;
277320;159324;;1989-01-23;19/1989;1989-09-18;12/1992;1992-12-31;Sposób chromowania próżniowego stali;INSTYTUT MECHANIKI PRECYZYJNEJ;KASPRZYCKA EWA TACIKOWSKI JAN ZYŚK JAN JARZYŃSKI PIOTR;Foremski Lech;C23C14/24;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277321;159325;;1989-01-23;19/1989;1989-09-18;12/1992;1992-12-31;Sposób wytwarzania dyfuzyjnych warstw powierzchniowych na stalach;INSTYTUT MECHANIKI PRECYZYJNEJ;KASPRZYCKA EWA TACIKOWSKI JAN ZYŚK JAN;Foremski Lech;C23C8/06;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277322;152928;;1989-01-23;22/1989;1989-10-30;02/1991;1991-02-28;Kondensator monolityczny z dielektrykiem o niskiej temperaturze spiekania;ZAKŁADY CERAMIKI RADIOWEJ;KASTELIK STANISŁAWA CIEŚLA MARIAN PILCHOWSKA KRYSTYNA KURBIEL ZENON MARIAŃSKI RYSZARD TRYBUCHOWSKI WOJCIECH;;H01G1/01;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277323;;;1989-01-23;16/1990;1990-08-06;;;Sposób otrzymywania masy kosmetycznej;REGIONALNY ZWIĄZEK SPÓŁDZIELNI INWALIDÓW;HRYCIUK EDWARD;;A61K;Decyzja o umorzeniu postępowania;
277324;;;1989-01-23;16/1990;1990-08-06;;;Urządzenie do ujednolicenia masy;REGIONALNY ZWIĄZEK SPÓŁDZIELNI INWALIDÓW;HRYCIUK EDWAED;;B01F;Decyzja o umorzeniu postępowania;
